x,fidesz_y,tisza_y
0.000000000000000000e+00,4.381639435509326607e-17,2.816566544276242438e-24
1.000000000000000000e+00,9.998378748497178858e-17,7.694598626706419350e-24
2.000000000000000000e+00,2.258809403154303348e-16,2.081176820202824489e-23
3.000000000000000000e+00,5.052271083536892535e-16,5.573000022720691680e-23
4.000000000000000000e+00,1.118795621435181701e-15,1.477495492704264937e-22
5.000000000000000000e+00,2.452855285696432287e-15,3.878111931746960865e-22
6.000000000000000000e+00,5.324148372252943203e-15,1.007793539430001137e-21
7.000000000000000000e+00,1.144156490180136900e-14,2.592864701100370926e-21
8.000000000000000000e+00,2.434320533029010109e-14,6.604579860739309386e-21
9.000000000000000000e+00,5.127753636796662942e-14,1.665588032379928859e-20
1.000000000000000000e+01,1.069383787154164009e-13,4.158598979115160189e-20
1.100000000000000000e+01,2.207989963137139344e-13,1.027977357166891700e-19
1.200000000000000000e+01,4.513543677205518041e-13,2.515805776951404723e-19
1.300000000000000000e+01,9.134720408364595661e-13,6.095758129562418046e-19
1.400000000000000000e+01,1.830332217015571292e-12,1.462296357500658239e-18
1.500000000000000000e+01,3.630961501791801007e-12,3.472962748566208340e-18
1.600000000000000000e+01,7.131328123996076372e-12,8.166235631669551118e-18
1.700000000000000000e+01,1.386679994165317148e-11,1.901081537907963634e-17
1.800000000000000000e+01,2.669556614762851854e-11,4.381639435509326607e-17
1.900000000000000000e+01,5.088140281645039132e-11,9.998378748497178858e-17
2.000000000000000000e+01,9.601433370312336029e-11,2.258809403154303348e-16
2.100000000000000000e+01,1.793783907964079361e-10,5.052271083536892535e-16
2.200000000000000000e+01,3.317884243547304800e-10,1.118795621435181701e-15
2.300000000000000000e+01,6.075882849823286087e-10,2.452855285696432287e-15
2.400000000000000000e+01,1.101576362468230798e-09,5.324148372252943203e-15
2.500000000000000000e+01,1.977319640624467597e-09,1.144156490180136900e-14
2.600000000000000000e+01,3.513955094820433875e-09,2.434320533029010109e-14
2.700000000000000000e+01,6.182620500165857624e-09,5.127753636796662942e-14
2.800000000000000000e+01,1.076976004254327641e-08,1.069383787154164009e-13
2.900000000000000000e+01,1.857361844555289808e-08,2.207989963137139344e-13
3.000000000000000000e+01,3.171349216715976060e-08,4.513543677205518041e-13
3.100000000000000000e+01,5.361035344697614793e-08,9.134720408364595661e-13
3.200000000000000000e+01,8.972435162383337915e-08,1.830332217015571292e-12
3.300000000000000000e+01,1.486719514734297996e-07,3.630961501791801007e-12
3.400000000000000000e+01,2.438960745893351964e-07,7.131328123996076372e-12
3.500000000000000000e+01,3.961299091032075516e-07,1.386679994165317148e-11
3.600000000000000000e+01,6.369825178867090312e-07,2.669556614762851854e-11
3.700000000000000000e+01,1.014085206548676044e-06,5.088140281645039132e-11
3.800000000000000000e+01,1.598374110690547758e-06,9.601433370312336029e-11
3.900000000000000000e+01,2.494247129005353618e-06,1.793783907964079361e-10
4.000000000000000000e+01,3.853519674208712770e-06,3.317884243547304800e-10
4.100000000000000000e+01,5.894306775653985832e-06,6.075882849823286087e-10
4.200000000000000000e+01,8.926165717713293457e-06,1.101576362468230798e-09
4.300000000000000000e+01,1.338302257648853744e-05,1.977319640624467597e-09
4.400000000000000000e+01,1.986554713927727179e-05,3.513955094820433875e-09
4.500000000000000000e+01,2.919469257914602642e-05,6.182620500165857624e-09
4.600000000000000000e+01,4.247802705507514211e-05,1.076976004254327641e-08
4.700000000000000000e+01,6.119019301137718721e-05,1.857361844555289808e-08
4.800000000000000000e+01,8.726826950457600997e-05,3.171349216715976060e-08
4.900000000000000000e+01,1.232219168473019824e-04,5.361035344697614793e-08
5.000000000000000000e+01,1.722568939053681282e-04,8.972435162383337915e-08
5.100000000000000000e+01,2.384088201464840497e-04,1.486719514734297996e-07
5.200000000000000000e+01,3.266819056199918650e-04,2.438960745893351964e-07
5.300000000000000000e+01,4.431848411938007636e-04,3.961299091032075516e-07
5.400000000000000000e+01,5.952532419775853362e-04,6.369825178867090312e-07
5.500000000000000000e+01,7.915451582979968334e-04,1.014085206548676044e-06
5.600000000000000000e+01,1.042093481442259119e-03,1.598374110690547758e-06
5.700000000000000000e+01,1.358296923368561455e-03,2.494247129005353618e-06
5.800000000000000000e+01,1.752830049356854034e-03,3.853519674208712770e-06
5.900000000000000000e+01,2.239453029484289766e-03,5.894306775653985832e-06
6.000000000000000000e+01,2.832703774160119040e-03,8.926165717713293457e-06
6.100000000000000000e+01,3.547459284623142532e-03,1.338302257648853744e-05
6.200000000000000000e+01,4.398359598042719636e-03,1.986554713927727179e-05
6.300000000000000000e+01,5.399096651318806110e-03,2.919469257914602642e-05
6.400000000000000000e+01,6.561581477467659518e-03,4.247802705507514211e-05
6.500000000000000000e+01,7.895015830089415626e-03,6.119019301137718721e-05
6.600000000000000000e+01,9.404907737688695396e-03,8.726826950457600997e-05
6.700000000000000000e+01,1.109208346794555468e-02,1.232219168473019824e-04
6.800000000000000000e+01,1.295175956658917507e-02,1.722568939053681282e-04
6.900000000000000000e+01,1.497274656357448774e-02,2.384088201464840497e-04
7.000000000000000000e+01,1.713685920478073485e-02,3.266819056199918650e-04
7.100000000000000000e+01,1.941860549832129940e-02,4.431848411938007636e-04
7.200000000000000000e+01,2.178521770325505397e-02,5.952532419775853362e-04
7.300000000000000000e+01,2.419707245191433584e-02,7.915451582979968334e-04
7.400000000000000000e+01,2.660852498987548165e-02,1.042093481442259119e-03
7.500000000000000000e+01,2.896915527614827429e-02,1.358296923368561455e-03
7.600000000000000000e+01,3.122539333667612854e-02,1.752830049356854034e-03
7.700000000000000000e+01,3.332246028917996983e-02,2.239453029484289766e-03
7.800000000000000000e+01,3.520653267642995243e-02,2.832703774160119040e-03
7.900000000000000000e+01,3.682701403033233206e-02,3.547459284623142532e-03
8.000000000000000000e+01,3.813878154605241516e-02,4.398359598042719636e-03
8.100000000000000000e+01,3.910426939754559073e-02,5.399096651318806110e-03
8.200000000000000000e+01,3.969525474770117801e-02,6.561581477467659518e-03
8.300000000000000000e+01,3.989422804014326751e-02,7.895015830089415626e-03
8.400000000000000000e+01,3.969525474770117801e-02,9.404907737688695396e-03
8.500000000000000000e+01,3.910426939754559073e-02,1.109208346794555468e-02
8.600000000000000000e+01,3.813878154605241516e-02,1.295175956658917507e-02
8.700000000000000000e+01,3.682701403033233206e-02,1.497274656357448774e-02
8.800000000000000000e+01,3.520653267642995243e-02,1.713685920478073485e-02
8.900000000000000000e+01,3.332246028917996983e-02,1.941860549832129940e-02
9.000000000000000000e+01,3.122539333667612854e-02,2.178521770325505397e-02
9.100000000000000000e+01,2.896915527614827429e-02,2.419707245191433584e-02
9.200000000000000000e+01,2.660852498987548165e-02,2.660852498987548165e-02
9.300000000000000000e+01,2.419707245191433584e-02,2.896915527614827429e-02
9.400000000000000000e+01,2.178521770325505397e-02,3.122539333667612854e-02
9.500000000000000000e+01,1.941860549832129940e-02,3.332246028917996983e-02
9.600000000000000000e+01,1.713685920478073485e-02,3.520653267642995243e-02
