pollster,date,url,fidesz,tisza,dk,mihazank,mkkp,momentum,dk_mszp_p
IDEA,2025-09-03,,68,123,9,0,0,0,0
Závecz RI,2025-08-31,,60,113,9,10,8,0,0
Medián,2025-08-31,,66,125,0,9,0,0,0
21 Kutató,2025-08-29,,64,126,0,10,0,0,0
Republikon,2025-08-24,,58,108,12,14,8,0,0
Nézőpont,2025-08-18,,117,63,0,12,8,0,0
Publicus,2025-08-03,,61,117,12,10,0,0,0
IDEA,2025-08-03,,69,122,9,0,0,0,0
Republikon,2025-07-26,,59,112,10,10,9,0,0
Republikon,2025-07-04,,57,112,10,12,9,0,0
Társadalomkutató,2025-07-01,,127,73,0,0,0,0,0
Real-PR 93,2025-06-30,,124,76,0,0,0,0,0
21 Kutató,2025-06-25,,58,122,8,12,0,0,0
Publicus,2025-06-24,,61,115,15,9,0,0,0
Závecz RI,2025-06-20,,62,117,9,12,0,0,0
Nézőpont,2025-06-16,,118,69,0,13,0,0,0
Medián,2025-06-05,,63,128,0,9,0,0,0
Republikon,2025-05-31,,58,110,10,12,10,0,0
IDEA,2025-05-19,,62,119,10,9,0,0,0
Publicus,2025-05-14,,61,113,17,9,0,0,0
Republikon,2025-04-13,,63,110,13,14,0,0,0
Publicus,2025-04-06,,64,110,17,9,0,0,0
21 Kutató,2025-04-04,,66,125,0,9,0,0,0
Republikon,2025-03-29,,60,109,12,10,9,0,0
Závecz RI,2025-03-20,,64,112,13,11,0,0,0
Nézőpont,2025-03-11,,124,61,0,15,0,0,0
Publicus,2025-03-08,,66,110,15,9,0,0,0
Medián,2025-03-03,,68,121,0,11,0,0,0
Republikon,2025-02-24,,62,104,12,12,10,0,0
Publicus,2025-01-24,,64,112,15,9,0,0,0
Republikon,2025-01-18,,57,108,13,13,9,0,0
Iránytű,2025-01-14,,73,116,0,11,0,0,0
IDEA,2025-01-05,,62,117,9,12,0,0,0
Társadalomkutató,2024-12-17,,124,58,0,9,9,0,0
Publicus,2024-12-14,,63,111,16,10,0,0,0
Nézőpont,2024-12-10,,128,63,0,9,0,0,0
Századvég,2024-12-06,,112,57,8,12,11,0,0
IDEA,2024-12-02,,64,116,9,11,0,0,0
Republikon,2024-12-01,,58,105,13,15,9,0,0
Real-PR 93,2024-11-26,,116,63,9,12,0,0,0
Závecz RI,2024-11-25,,63,111,13,13,0,0,0
Medián,2024-11-23,,65,124,0,11,0,0,0
Társadalomkutató,2024-11-20,,120,59,0,11,10,0,0
Publicus,2024-11-16,,65,108,18,9,0,0,0
Századvég,2024-11-16,,107,58,8,12,15,0,0
Nézőpont,2024-11-12,,126,61,0,13,0,0,0
IDEA,2024-11-04,,66,111,11,12,0,0,0
Medián,2024-10-31,,70,119,0,11,0,0,0
Real-PR 93,2024-10-29,,122,58,9,11,0,0,0
Republikon,2024-10-26,,108,66,13,13,0,0,0
Nézőpont,2024-10-15,,128,61,0,11,0,0,0
Publicus,2024-10-14,,71,113,16,0,0,0,0
Századvég,2024-10-13,,116,60,0,12,12,0,0
21 Kutató,2024-10-12,,115,74,0,11,0,0,0
Závecz RI,2024-10-03,,113,64,13,10,0,0,0
IDEA,2024-10-02,,109,66,13,12,0,0,0
Nézőpont,2024-09-17,,122,57,11,10,0,0,0
Nézőpont,2024-09-10,,120,62,9,9,0,0,0
Medián,2024-09-06,,121,70,0,9,0,0,0
IDEA,2024-09-01,,111,60,15,14,0,0,0
Závecz RI,2024-08-26,,114,58,15,13,0,0,0
IDEA,2024-07-27,,115,60,14,11,0,0,0
Nézőpont,2024-07-16,,118,49,10,15,8,0,0
Medián,2024-07-07,,114,52,12,14,8,0,0
Republikon,2024-07-05,,114,54,12,9,11,0,0
IDEA,2024-06-23,,115,58,16,11,0,0,0
21 Kutató,2024-06-07,,118,56,0,12,0,0,14
Publicus,2024-06-04,,118,46,0,9,0,0,27
Medián,2024-06-02,,128,47,0,9,0,0,16
