pollster,date,fidesz,tisza,dk,mihazank,mkkp,momentum,url
21 Kutató,2026-03-04,0.39890000000000003,0.5209,0.0109,0.0535,0.0159,,
Századvég,2026-02-27,0.45740000000000003,0.3936,0.053200000000000004,0.053200000000000004,0.0319,,
Publicus,2026-02-25,0.3981,0.4658,0.0415,0.055999999999999994,0.038599999999999995,,
Závecz RI,2026-02-25,0.39,0.4888,0.0344,0.06559999999999999,0.0212,,
Nézőpont,2026-02-24,0.4523,0.39890000000000003,0.032,0.07980000000000001,0.037000000000000005,,
Medián,2026-02-20,0.3618,0.5266,0.0179,0.0623,0.0209,,
Republikon,2026-02-14,0.3912,0.46509999999999996,0.0291,0.0639,0.0507,,
Publicus,2026-02-10,0.39270000000000005,0.4683,0.050300000000000004,0.050300000000000004,0.0384,,
Nézőpont,2026-02-10,0.4594,0.4,0.037599999999999995,0.0762,0.0268,,
Iránytű,2026-02-06,0.3764,0.4788,0.0178,0.0699,0.051699999999999996,,
Alapjogokért K,2026-02-03,0.49,0.42,0.02,0.05,0.02,,
IDEA,2026-02-03,0.37420000000000003,0.4768,0.0513,0.0513,0.0347,0.0,
21 Kutató,2026-01-30,0.3759,0.5049,0.029300000000000003,0.0596,0.024300000000000002,,
Századvég,2026-01-28,0.44789999999999996,0.38539999999999996,0.0521,0.0521,0.0417,,
Publicus,2026-01-22,0.3982,0.4718,0.0433,0.055999999999999994,0.030699999999999998,0.0,
Társadalomkutató,2026-01-22,0.51,0.41,0.01,0.05,0.02,,
Závecz RI,2026-01-21,0.3925,0.474,0.0391,0.044000000000000004,0.0342,,
Republikon,2026-01-17,0.379,0.4607,0.0401,0.0584,0.051,,
Nézőpont,2026-01-13,0.45,0.4,0.03,0.07,0.05,,
Medián,2026-01-10,0.3994,0.501,0.0106,0.049800000000000004,0.0287,,
Alapjogokért K,2026-01-06,0.49,0.41,0.02,0.06,0.02,,
Nézőpont,2026-01-06,0.46759999999999996,0.4035,0.026600000000000002,0.0649,0.0374,,
IDEA,2026-01-03,0.3749,0.4797,0.0524,0.047400000000000005,0.0287,0.0,
Publicus,2025-12-18,0.3978,0.4669,0.0537,0.0537,0.0278,0.0,
Társadalomkutató,2025-12-18,0.51,0.38,0.02,0.05,0.03,,
Alapjogokért K,2025-12-16,0.49,0.4,0.02,0.06,0.03,,
Nézőpont,2025-12-15,0.4653,0.395,0.0268,0.0653,0.0426,,
21 Kutató,2025-12-14,0.36920000000000003,0.5107,0.0297,0.060599999999999994,0.0222,,
Republikon,2025-12-12,0.36619999999999997,0.4696,0.0404,0.058899999999999994,0.051399999999999994,,
Real-PR 93,2025-12-02,0.49,0.38,0.03,0.07,0.03,,
Nézőpont,2025-11-30,0.45,0.4,0.03,0.08,0.04,,
IDEA,2025-11-30,0.3823,0.4692,0.0518,0.0401,0.028399999999999998,0.0,
Századvég,2025-11-27,0.4583,0.3958,0.031200000000000002,0.0521,0.0417,,
Závecz RI,2025-11-26,0.3848,0.4623,0.046,0.051,0.0395,,
Republikon,2025-11-26,0.342,0.4446,0.0412,0.07980000000000001,0.0636,,
Nézőpont,2025-11-25,0.4764,0.3897,0.0265,0.07519999999999999,0.0322,,
21 Kutató,2025-11-24,0.3839,0.4807,0.0348,0.0596,0.0298,,
Medián,2025-11-22,0.4044,0.48479999999999995,0.0212,0.0554,0.0212,,
Publicus,2025-11-14,0.3825,0.4707,0.07490000000000001,0.0408,0.0311,0.0,
Társadalomkutató,2025-11-13,0.495,0.396,0.019799999999999998,0.0495,0.0297,,
Alapjogokért K,2025-11-11,0.48,0.41,0.02,0.05,0.04,,
IDEA,2025-11-03,0.3933,0.4683,0.051699999999999996,0.0467,0.035,0.0,
Závecz RI,2025-10-27,0.3709,0.4644,0.0506,0.0571,0.0392,0.011399999999999999,
Republikon,2025-10-19,0.34409999999999996,0.43579999999999997,0.0519,0.0681,0.063,0.006,
Iránytű,2025-10-16,0.3811,0.4824,0.024399999999999998,0.060899999999999996,0.036000000000000004,,
Alapjogokért K,2025-10-14,0.47,0.42,0.02,0.06,0.03,,
Real-PR 93,2025-10-13,0.4949,0.40399999999999997,0.0202,0.050499999999999996,0.030299999999999997,,
Publicus,2025-10-09,0.38380000000000003,0.4493,0.0771,0.056600000000000004,0.0304,0.0,
Nézőpont,2025-10-07,0.44939999999999997,0.41090000000000004,0.0268,0.0644,0.048499999999999995,,
21 Kutató,2025-10-06,0.36560000000000004,0.5063,0.029900000000000003,0.0684,0.0187,,
IDEA,2025-10-03,0.37,0.4917,0.051699999999999996,0.04,0.0233,0.005,
Társadalomkutató,2025-09-30,0.47,0.39,0.02,0.06,0.04,,
Republikon,2025-09-28,0.35090000000000005,0.4236,0.051699999999999996,0.07769999999999999,0.0541,0.011000000000000001,
Századvég,2025-09-12,0.44329999999999997,0.3814,0.051500000000000004,0.061900000000000004,0.051500000000000004,,
Publicus,2025-09-10,0.3734,0.4572,0.0771,0.058899999999999994,0.0334,0.0,
Real-PR 93,2025-09-09,0.47,0.4,0.04,0.05,0.03,,
IDEA,2025-09-03,0.3883,0.4733,0.051699999999999996,0.04,0.0233,,
Závecz RI,2025-08-31,0.35950000000000004,0.4415,0.0506,0.0621,0.045599999999999995,0.011399999999999999,
Medián,2025-08-31,0.3812,0.4936,0.021400000000000002,0.0453,0.0346,,
21 Kutató,2025-08-29,0.36840000000000006,0.5021,0.0222,0.0605,0.0347,,
Republikon,2025-08-24,0.34380000000000005,0.3992,0.06860000000000001,0.0793,0.0529,0.010700000000000001,
Nézőpont,2025-08-18,0.4562,0.38049999999999995,0.0379,0.06570000000000001,0.048799999999999996,,
Publicus,2025-08-03,0.3568,0.4582,0.0861,0.059500000000000004,0.0282,0.0,
IDEA,2025-08-03,0.3936,0.456,0.0455,0.0405,0.0355,0.005,
Republikon,2025-07-26,0.341,0.41840000000000005,0.0647,0.0588,0.0537,0.0134,
Republikon,2025-07-04,0.3331,0.42369999999999997,0.0587,0.0746,0.0487,0.0184,
Társadalomkutató,2025-07-01,0.49,0.41,0.03,0.03,,,
Real-PR 93,2025-06-30,0.47,0.42,0.04,0.03,0.03,,
21 Kutató,2025-06-25,0.3544,0.4976,0.046,0.0659,0.024900000000000002,,
Publicus,2025-06-24,0.36479999999999996,0.44079999999999997,0.0971,0.0464,0.0128,0.014199999999999999,
Závecz RI,2025-06-20,0.3461,0.44049999999999995,0.0513,0.0745,0.0397,0.0116,
Nézőpont,2025-06-16,0.44,0.39,0.03,0.07,0.04,,
Medián,2025-06-05,0.35969999999999996,0.4993,0.028900000000000002,0.050300000000000004,0.0321,,
Republikon,2025-05-31,0.3369,0.4144,0.0602,0.0732,0.06269999999999999,0.0106,
IDEA,2025-05-19,0.3586,0.4561,0.057800000000000004,0.0458,0.0408,0.011899999999999999,
Publicus,2025-05-14,0.3614,0.4325,0.10980000000000001,0.0472,0.0285,0.0,
Republikon,2025-04-13,0.3457,0.3901,0.0716,0.0766,0.0333,0.027200000000000002,
Publicus,2025-04-06,0.3686,0.4035,0.1076,0.046900000000000004,0.028300000000000002,0.0141,
21 Kutató,2025-04-04,0.37329999999999997,0.4833,0.0292,0.0458,0.035,,
Republikon,2025-03-29,0.34159999999999996,0.3909,0.0723,0.061500000000000006,0.0507,0.039900000000000005,
Závecz RI,2025-03-20,0.33990000000000004,0.3839,0.0731,0.061799999999999994,0.0291,0.0326,
Nézőpont,2025-03-11,0.4506,0.3274,0.0322,0.0816,0.0394,0.0111,
Publicus,2025-03-08,0.3909,0.4108,0.1052,0.04769999999999999,0.015700000000000002,0.0,
Medián,2025-03-03,0.3754,0.4461,0.0291,0.061399999999999996,0.039900000000000005,,
Republikon,2025-02-24,0.3594,0.3686,0.0672,0.0747,0.0646,0.0109,
Publicus,2025-01-24,0.3713,0.4153,0.0986,0.0546,0.0285,0.0027,
Republikon,2025-01-18,0.3194,0.3771,0.0747,0.0698,0.0538,0.0294,
Iránytű,2025-01-14,0.3969,0.4163,0.0369,0.0638,0.0369,,
IDEA,2025-01-05,0.3557,0.44799999999999995,0.052000000000000005,0.0688,0.0285,0.0118,
Társadalomkutató,2024-12-17,0.49,0.34,0.04,0.05,0.05,0.01,
Publicus,2024-12-14,0.36090000000000005,0.41359999999999997,0.099,0.055099999999999996,0.0301,0.0138,
Nézőpont,2024-12-10,0.4755,0.3432,0.044000000000000004,0.0453,0.0403,0.0113,
Századvég,2024-12-06,0.4251,0.3367,0.04650000000000001,0.0673,0.0726,0.0311,
IDEA,2024-12-02,0.3626,0.4321,0.0513,0.0629,0.0282,0.0116,
Republikon,2024-12-01,0.3189,0.36310000000000003,0.0693,0.0801,0.0509,0.0401,
Real-PR 93,2024-11-26,0.44,0.36,0.05,0.07,0.03,0.01,
Závecz RI,2024-11-25,0.344,0.37810000000000005,0.0652,0.0702,0.041100000000000005,0.0291,
Medián,2024-11-23,0.3588,0.4568,0.039900000000000005,0.0639,0.039900000000000005,0.013300000000000001,
Társadalomkutató,2024-11-20,0.4567,0.3435,0.028300000000000002,0.0605,0.0605,0.0111,
Századvég,2024-11-16,0.4021,0.3452,0.0516,0.0669,0.0929,0.0206,
Publicus,2024-11-16,0.3737,0.3874,0.10550000000000001,0.0495,0.029900000000000003,0.0177,
Nézőpont,2024-11-12,0.4675,0.3262,0.0438,0.0712,0.045,0.011200000000000002,
IDEA,2024-11-04,0.37920000000000004,0.4077,0.057,0.0688,0.0285,0.0118,
Medián,2024-10-31,0.3925,0.44380000000000003,0.0288,0.0581,0.0344,0.0106,
Real-PR 93,2024-10-29,0.4575,0.3312,0.048799999999999996,0.06,0.045,0.0175,
Republikon,2024-10-26,0.3644,0.34740000000000004,0.0697,0.0746,0.0414,0.0453,
Nézőpont,2024-10-15,0.4694,0.3336,0.0394,0.059699999999999996,0.0432,0.011399999999999999,
Publicus,2024-10-14,0.36829999999999996,0.3848,0.0964,0.0446,0.0365,0.018799999999999997,
Századvég,2024-10-13,0.4324,0.3385,0.0417,0.0676,0.0676,0.0209,
21 Kutató,2024-10-12,0.4003,0.3924,0.0404,0.057300000000000004,0.0429,0.0239,
Závecz RI,2024-10-03,0.3788,0.32939999999999997,0.0718,0.054400000000000004,0.0421,0.0297,
IDEA,2024-10-02,0.38939999999999997,0.36560000000000004,0.0697,0.0697,0.0408,0.0169,
Nézőpont,2024-09-17,0.47,0.33,0.064,0.06,0.02,0.01,
Nézőpont,2024-09-10,0.45,0.35,0.048,0.05,0.04,0.03,
Medián,2024-09-06,0.4296,0.3743,0.0296,0.046799999999999994,0.0418,0.018600000000000002,
IDEA,2024-09-01,0.38939999999999997,0.3297,0.0817,0.0767,0.0358,0.0239,
Závecz RI,2024-08-26,0.3931,0.30579999999999996,0.07519999999999999,0.0702,0.0311,0.0311,
IDEA,2024-07-27,0.40590000000000004,0.32770000000000005,0.0758,0.0587,0.0366,0.024399999999999998,
Nézőpont,2024-07-16,0.47,0.29,0.064,0.09,0.05,,
Medián,2024-07-07,0.4321,0.2994,0.0684,0.0755,0.0537,0.029300000000000003,
Republikon,2024-07-05,0.41729999999999995,0.3125,0.0692,0.0524,0.0574,0.0405,
IDEA,2024-06-23,0.4077,0.3154,0.0873,0.0638,0.0353,0.0285,
21 Kutató,2024-06-07,0.44,0.32,0.08,0.07,0.04,0.03,
Publicus,2024-06-04,0.43,0.25,0.15,0.05,0.04,0.04,
Medián,2024-06-02,0.49570000000000003,0.2669,0.09210000000000002,0.0481,0.0431,0.029500000000000002,
Závecz RI,2024-05-28,0.43729999999999997,0.2651,0.1166,0.0455,0.0287,0.047400000000000005,
Real-PR 93,2024-05-28,0.44549999999999995,0.2772,0.099,0.0495,0.0693,0.009899999999999999,
Medián,2024-05-28,0.4721,0.282,0.0646,0.0596,0.031,0.0521,
IDEA,2024-05-24,0.43829999999999997,0.2568,0.1234,0.053200000000000004,0.041100000000000005,0.041100000000000005,
Századvég,2024-05-24,0.45,0.23,0.1,0.06,0.09,0.03,
Alapjogokért K,2024-05-23,0.47,0.26,0.08,0.06,0.06,0.02,
Nézőpont,2024-05-21,0.47,0.24,0.09,0.07,0.07,0.01,
Társadalomkutató,2024-05-15,0.5152,0.2525,0.0808,0.0404,0.050499999999999996,0.0101,
Závecz RI,2024-05-06,0.37920000000000004,0.255,0.16390000000000002,0.056299999999999996,0.0282,0.0463,
Nézőpont,2024-04-30,0.48,0.2,0.11,0.05,0.07,0.01,
Nézőpont,2024-04-30,0.44,0.22,0.13,0.06,0.07,0.01,
IDEA,2024-04-29,0.375,0.205,0.17170000000000002,0.0467,0.0467,0.04,
IDEA,2024-04-29,0.3957,0.2064,0.172,0.0417,0.054000000000000006,0.0417,
Publicus,2024-04-28,0.3864,0.2043,0.2728,0.0418,0.0287,0.0362,
Publicus,2024-04-28,0.4213,0.22769999999999999,0.2327,0.041100000000000005,0.0241,0.0291,
Medián,2024-04-27,0.4457,0.2413,0.0857,0.0489,0.0623,0.0404,
Republikon,2024-04-24,0.35479999999999995,0.1727,0.2329,0.0552,0.0552,0.049699999999999994,
Iránytű,2024-04-18,0.493,0.2455,0.09230000000000001,0.0409,0.045899999999999996,0.027000000000000003,
Iránytű,2024-04-10,0.53,0.2,0.09,0.06,0.04,0.03,
Závecz RI,2024-04-07,0.3317,0.1433,0.25,0.08,0.0583,0.0683,
Závecz RI,2024-04-07,0.3538,,0.2526,0.0768,0.0668,0.0768,
IDEA,2024-04-04,0.3766,,0.19699999999999998,0.0599,0.0599,0.0599,
Nézőpont,2024-04-03,0.4653,0.12869999999999998,0.12869999999999998,0.0594,0.10890000000000001,0.039599999999999996,
Republikon,2024-03-29,0.33840000000000003,0.1491,0.22440000000000002,0.0754,0.0519,0.04019999999999999,
Republikon,2024-03-29,0.3563,,0.24710000000000001,0.08070000000000001,0.0689,0.0689,
Medián,2024-03-07,0.45520000000000005,,0.1402,0.0836,0.1107,0.0751,
IDEA,2024-03-06,0.40399999999999997,,0.22690000000000002,0.0723,0.0723,0.07730000000000001,
Társadalomkutató,2024-03-05,0.48,,0.1,0.1,0.11,0.08,
Závecz RI,2024-03-04,0.4382,,0.25,0.0941,0.0421,0.0718,
Nézőpont,2024-02-27,0.4653,,0.1782,0.07919999999999999,0.07919999999999999,0.0693,
Republikon,2024-02-24,0.36810000000000004,,0.2447,0.0873,0.0823,0.0873,
21 Kutató,2024-02-24,0.4461,,0.1956,0.0727,0.0852,0.0828,
IDEA,2024-02-04,0.42450000000000004,,0.2412,0.09050000000000001,0.0679,0.0729,
Republikon,2024-01-17,0.42829999999999996,,0.2644,0.0907,0.0781,0.0731,
Medián,2024-01-10,0.5195000000000001,,0.13419999999999999,0.07980000000000001,0.0723,0.0659,
Alapjogokért K,2024-01-08,0.51,,0.13,0.1,0.09,0.04,
Századvég,2024-01-06,0.51,,0.13,0.1,0.09,0.08,
Nézőpont,2024-01-03,0.5,,0.17,0.07,0.08,0.08,
IDEA,2024-01-02,0.42969999999999997,,0.23559999999999998,0.0913,0.055999999999999994,0.0737,
Real-PR 93,2023-12-19,0.47,,0.12,0.08,0.11,0.06,
Társadalomkutató,2023-12-16,0.4949,,0.10099999999999999,0.10099999999999999,0.10099999999999999,0.0404,
Publicus,2023-12-13,0.4362,,0.23620000000000002,0.0416,0.0416,0.0803,
Real-PR 93,2023-12-13,0.51,,0.13,0.1,0.07,0.06,
IDEA,2023-12-06,0.42469999999999997,,0.1968,0.0934,0.0753,0.0753,
Republikon,2023-11-20,0.4347,,0.1809,0.09050000000000001,0.0729,0.0729,
21 Kutató,2023-11-15,0.456,,0.1585,0.08789999999999999,0.0542,0.0574,
IDEA,2023-11-08,0.4347,,0.1968,0.08839999999999999,0.0623,0.0753,
Závecz RI,2023-11-03,0.4533,,0.1883,0.08,0.035,0.0633,
Republikon,2023-10-20,0.43579999999999997,,0.1814,0.1033,0.06280000000000001,0.073,
IDEA,2023-10-05,0.4393,,0.1902,0.0926,0.0567,0.0797,
Medián,2023-09-24,0.4561,,0.1115,0.1015,0.0802,0.0602,
Republikon,2023-09-21,0.4232,,0.1782,0.1015,0.08410000000000001,0.08410000000000001,
Závecz RI,2023-09-13,0.4443,,0.18789999999999998,0.1,0.0536,0.06570000000000001,
Nézőpont,2023-09-05,0.51,,0.1,0.09,0.08,0.08,
Publicus,2023-09-03,0.46009999999999995,,0.1766,0.053899999999999997,0.0513,0.06559999999999999,
IDEA,2023-09-02,0.43270000000000003,,0.1796,0.1038,0.06849999999999999,0.0785,
21 Kutató,2023-08-26,0.4096,,0.13949999999999999,0.0874,0.0603,0.0863,
Republikon,2023-08-19,0.4183,,0.16829999999999998,0.0986,0.0697,0.0986,
IDEA,2023-08-03,0.44549999999999995,,0.19579999999999997,0.0929,0.062,0.0799,
Republikon,2023-07-19,0.4353,,0.18030000000000002,0.0817,0.057800000000000004,0.0867,
IDEA,2023-07-08,0.4673,,0.1909,0.0855,0.0679,0.0779,
Republikon,2023-06-21,0.456,,0.16219999999999998,0.0692,0.0642,0.0861,
IDEA,2023-06-02,0.4673,,0.1985,0.0855,0.0679,0.0855,
Medián,2023-05-28,0.4702,,0.13419999999999999,0.0761,0.1032,0.0751,
Nézőpont,2023-05-16,0.51,,0.16,0.06,0.03,0.09,
Iránytű,2023-05-16,0.45549999999999996,,0.1253,0.0969,0.1048,0.079,
IDEA,2023-05-08,0.46840000000000004,,0.1864,0.0907,0.0682,0.0781,
Závecz RI,2023-05-01,0.4722,,0.18530000000000002,0.0767,0.0358,0.0647,
Závecz RI,2023-05-01,0.4596,,0.1883,0.0709,0.029300000000000003,0.0758,
Republikon,2023-04-24,0.4864,,0.172,0.0762,0.0467,0.0712,
IDEA,2023-04-03,0.48310000000000003,,0.19519999999999998,0.0926,0.0567,0.0797,
Társadalomkutató,2023-03-28,0.52,,0.12,0.08,0.1,0.06,
Republikon,2023-03-22,0.4711,,0.1972,0.0817,0.0358,0.0817,
Századvég,2023-03-15,0.4545,,0.1023,0.1023,0.125,0.0909,
IDEA,2023-03-06,0.4739,,0.1918,0.0934,0.0623,0.0753,
Závecz RI,2023-03-04,0.46880000000000005,,0.17600000000000002,0.0915,0.031,0.0716,
Medián,2023-02-24,0.4974,,0.1333,0.0621,0.0765,0.08800000000000001,
Nézőpont,2023-02-21,0.52,,0.12,0.09,0.09,0.05,
Iránytű,2023-02-14,0.4875,,0.1185,0.08900000000000001,0.0902,0.0762,
Republikon,2023-02-12,0.47409999999999997,,0.2014,0.0712,0.029500000000000002,0.059000000000000004,
IDEA,2023-02-07,0.46659999999999996,,0.1938,0.09970000000000001,0.0484,0.061200000000000004,
IDEA,2023-01-05,0.47479999999999994,,0.1909,0.09050000000000001,0.0553,0.0603,
Republikon,2023-01-04,0.4536,,0.2,0.08789999999999999,0.029300000000000003,0.058600000000000006,
Nézőpont,2023-01-03,0.56,,0.14,0.06,0.04,0.06,
Publicus,2022-12-14,0.4742,,0.174,0.036699999999999997,0.0451,0.0785,
Medián,2022-12-12,0.4818,,0.1161,0.0875,0.0789,0.0839,
Real-PR 93,2022-12-11,0.51,,0.13,0.1,0.07,0.06,
IDEA,2022-12-05,0.4629,,0.1832,0.1015,0.049400000000000006,0.0594,
Republikon,2022-11-25,0.4629,,0.179,0.09789999999999999,0.0405,0.0574,
Závecz RI,2022-11-18,0.4857,,0.1636,0.08289999999999999,0.0364,0.058600000000000006,
21 Kutató,2022-11-10,0.4913,,0.1322,0.0898,0.0599,0.07730000000000001,
IDEA,2022-11-02,0.4988,,0.18460000000000001,0.0922,0.0424,0.054900000000000004,
Republikon,2022-10-21,0.4965,,0.1642,0.0943,0.0169,0.0808,
Nézőpont,2022-10-18,0.5361,,0.20190000000000002,0.0412,0.030899999999999997,0.0673,
Medián,2022-10-18,0.5188,,0.1229,0.08439999999999999,0.08439999999999999,0.068,
IDEA,2022-10-04,0.49310000000000004,,0.19519999999999998,0.10060000000000001,0.0388,0.0617,
Závecz RI,2022-09-18,0.51,,0.1426,0.0805,0.0235,0.0638,
IDEA,2022-09-04,0.4888,,0.1671,0.1047,0.054900000000000004,0.0599,
Nézőpont,2022-08-30,0.5281,,0.1348,0.0674,0.0449,0.1124,
Publicus,2022-08-27,0.483,,0.15560000000000002,0.039900000000000005,0.046,0.0906,
IDEA,2022-08-01,0.5124,,0.1659,0.0965,0.0471,0.0594,
Publicus,2022-07-21,0.45409999999999995,,0.15410000000000001,0.0581,0.0519,0.08220000000000001,
IDEA,2022-07-14,0.5306000000000001,,0.1404,0.0943,0.0582,0.0582,
Nézőpont,2022-07-12,0.5625,,0.098,0.0521,0.0521,0.098,
Nézőpont,2022-06-21,0.5789,,0.10769999999999999,0.0632,0.0526,0.0718,
IDEA,2022-05-04,0.5642,,0.1184,0.0855,0.0395,0.0675,
Závecz RI,2022-04-29,0.5875,,0.1112,0.0712,0.0175,0.0562,
Medián,2022-04-28,0.5867,,0.0759,0.0814,0.06,0.0756,
Republikon,2022-04-22,0.5506,,0.1241,0.0392,0.016399999999999998,0.08990000000000001,
Medián,2022-03-30,0.49,,,0.045,0.045,,
Publicus,2022-03-30,0.4781,,,0.028900000000000002,0.0169,,
Társadalomkutató,2022-03-29,0.5,,,0.06,0.04,,
Publicus,2022-03-27,0.4861,,,0.0278,0.0139,,
Századvég,2022-03-25,0.49,,,0.03,0.03,,
Medián,2022-03-25,0.5,,,0.0388,0.045,,
IDEA,2022-03-25,0.48840000000000006,,,0.032400000000000005,0.0216,,
Závecz RI,2022-03-24,0.48810000000000003,,,,,,
Nézőpont,2022-03-24,0.48979999999999996,,,0.030600000000000002,0.030600000000000002,,
Publicus,2022-03-23,0.484,,,0.026099999999999998,0.0189,,
Závecz RI,2022-03-23,0.4907,,,0.0335,0.0173,,
Real-PR 93,2022-03-23,0.49,,,0.05,0.03,,
Társadalomkutató,2022-03-22,0.52,,,0.03,0.03,,
Nézőpont,2022-03-18,0.5104,,,0.0208,0.031200000000000002,,
Republikon,2022-03-17,0.489,,,0.0329,0.016,,
Publicus,2022-03-09,0.4853,,,0.0294,0.0147,,
IDEA,2022-03-06,0.491,,,0.0381,0.027000000000000003,,
IDEA,2022-03-06,0.4968,,0.1629,0.0345,0.0345,0.0675,
Publicus,2022-03-01,0.5072,,,0.028999999999999998,0.014499999999999999,,
Medián,2022-02-24,0.4919,,,0.045,0.0319,,
Republikon,2022-02-21,0.4781,,,0.0329,0.0269,,
Nézőpont,2022-02-15,0.5,,,0.03,0.03,,
Publicus,2022-02-12,0.4571,,,0.0286,0.0143,,
Real-PR 93,2022-02-10,0.54,,,0.03,0.02,,
Závecz RI,2022-02-06,0.4825,,,0.0338,0.0225,,
Závecz RI,2022-02-06,0.4968,,0.1629,0.0395,0.023,0.051,
IDEA,2022-02-04,0.4825,,,0.0512,0.0275,,
IDEA,2022-02-04,0.48840000000000006,,0.1574,0.0463,0.0347,0.0795,
